Match_ID,Match_No,Date,Team_1,Team_2,Venue,Toss_Winner,Toss_Decision,Winning_Team,Won_By,Margin,Target,POTM,Notes
PSL2025_01,1,11-Apr-25,Lahore Qalandars,Islamabad United,Rawalpindi,Islamabad United,Field,Islamabad United,Wickets,8,140,Jason Holder,Muhammad Naeem (LQ) made T20 debut
PSL2025_02,2,12-Apr-25,Quetta Gladiators,Peshawar Zalmi,Rawalpindi,Peshawar Zalmi,Field,Quetta Gladiators,Runs,80,,Abrar Ahmed,
PSL2025_03,3,12-Apr-25,Multan Sultans,Karachi Kings,Karachi,Karachi Kings,Field,Karachi Kings,Wickets,4,235,James Vince,Fawad Ali (KK) made T20 debut
PSL2025_04,4,13-Apr-25,Lahore Qalandars,Quetta Gladiators,Rawalpindi,Quetta Gladiators,Field,Lahore Qalandars,Runs,79,,Fakhar Zaman,
PSL2025_05,5,14-Apr-25,Islamabad United,Peshawar Zalmi,Rawalpindi,Islamabad United,Bat,Islamabad United,Runs,102,,Sahibzada Farhan,
PSL2025_06,6,15-Apr-25,Lahore Qalandars,Karachi Kings,Karachi,Lahore Qalandars,Bat,Lahore Qalandars,Runs,65,,Fakhar Zaman,
PSL2025_07,7,16-Apr-25,Islamabad United,Multan Sultans,Rawalpindi,Multan Sultans,Field,Islamabad United,Runs,47,,Jason Holder,
PSL2025_08,8,18-Apr-25,Karachi Kings,Quetta Gladiators,Karachi,Karachi Kings,Bat,Karachi Kings,Runs,56,,James Vince,
PSL2025_09,9,19-Apr-25,Peshawar Zalmi,Multan Sultans,Rawalpindi,Peshawar Zalmi,Bat,Peshawar Zalmi,Runs,120,,Abdul Samad,Largest victory in PSL history (runs)
PSL2025_10,10,20-Apr-25,Karachi Kings,Islamabad United,Karachi,Islamabad United,Field,Islamabad United,Wickets,6,129,Shadab Khan,
PSL2025_11,11,21-Apr-25,Peshawar Zalmi,Karachi Kings,Karachi,Karachi Kings,Field,Karachi Kings,Wickets,2,148,Khushdil Shah,
PSL2025_12,12,22-Apr-25,Multan Sultans,Lahore Qalandars,Multan,Multan Sultans,Bat,Multan Sultans,Runs,33,,Yasir Khan,
PSL2025_13,13,23-Apr-25,Multan Sultans,Islamabad United,Multan,Multan Sultans,Bat,Islamabad United,Wickets,7,169,Andries Gous,
PSL2025_14,14,24-Apr-25,Lahore Qalandars,Peshawar Zalmi,Lahore,Peshawar Zalmi,Field,Peshawar Zalmi,Wickets,7,130,Alzarri Joseph,
PSL2025_15,15,25-Apr-25,Quetta Gladiators,Karachi Kings,Lahore,Karachi Kings,Field,Quetta Gladiators,Runs,5,,Abrar Ahmed,
PSL2025_16,16,26-Apr-25,Multan Sultans,Lahore Qalandars,Lahore,Lahore Qalandars,Field,Lahore Qalandars,Wickets,5,186,Daryl Mitchell,
PSL2025_17,17,27-Apr-25,Quetta Gladiators,Peshawar Zalmi,Lahore,Peshawar Zalmi,Field,Quetta Gladiators,Runs,64,,Faheem Ashraf,
